index,corp_code,corp_name,corp_eng_name,stock_code,modify_date
79857,01391033,NH프라임리츠,"NH Prime REIT Co., Ltd.",338100,
79864,00177199,디씨엠,DCM CORP,024090,
79866,00109587,대륙제관,DaeryukCan,004780,
79867,00161976,한세예스24홀딩스,"HANSAE YES24 HOLDINGS CO., LTD ",016450,
79868,01196313,유에스티,"UST CO., LTD.",263770,
79912,00447502,바이오톡스텍,"BiotoxtechCo.,Ltd.",086040,
79916,00149770,중앙에너비스,"Joong Ang Enervis Co.,Ltd.",000440,
79964,00261009,감성코퍼레이션,"GAMSUNG Corporation Co., Ltd.",036620,
79965,01583953,티엘엔지니어링,"TL Engineering  Co., Ltd.",413300,
79978,00166315,화신,"HWASHIN CO.,LTD",010690,
80018,00493185,제이스텍,"JASTECH, Ltd.",090470,
80030,00555740,툴코리아,"TOOL-KOREA CO., LTD.",110660,
80054,00117629,동양철관,"DONGYANG STEEL PIPE CO.,LTD",008970,
80080,00188715,현진소재,"HYUNJIN MATERIALS CO., LTD.",053660,
80121,00435312,하이스틸,"HISTEEL CO., LTD",071090,
80167,00916826,드림씨아이에스,DreamCIS INC.,223250,
80191,01187494,덴티스,"DENTIS CO.,LTD",261200,
80203,01388631,오션스톤,"Ocean Stone Corp,.",329020,
80243,01507722,켈스,CALTH. Inc,402420,
80265,00246417,이오테크닉스,"EO Technics CO.,LTD",039030,
80310,00555874,제주항공,"JEJUAIR, CO., LTD.",089590,
80313,01117413,바이오다인,"BIODYNE CO., LTD.",314930,
80330,00406727,세진티에스,"SEJIN T.S CO., LTD.",067770,
80340,00120021,LG,LG Corp.,003550,
80341,00201788,제낙스,JENAX Inc.,065620,
80342,00447982,에스지피엠,SGPM. Inc.,074000,
80343,00432102,한국금융지주,"Korea Investment Holdings Co., Ltd",071050,
80344,00231664,우리기술투자,"Woori Technology Investment Co., Ltd",041190,
80347,00113526,대한항공,"KOREAN AIR LINES CO.,LTD",003490,
80348,00115065,동남합성,"DONGNAMCHEMICALCO.,LTE.",023450,
80367,00921916,석경에이티,"Sukgyung AT Co., Ltd.",357550,
80398,00162832,한일단조,HanilForgingIndustrial,024740,
80404,00266934,파루,"PARU CO., LTD.",043200,
80415,00369657,리노공업,LEENO Industrial Inc,058470,
80429,00351092,삼보모터스,"SAMBO MOTORS CO., LTD.",053700,
80464,00563518,비나텍,"VINA TECH CO.,LTD",126340,
80525,00155692,우리엔터프라이즈,"WOOREE ENTERPRISE CO.,LTD",037400,
80526,00170558,코웨이,"COWAY Co., Ltd.",021240,
80527,00269940,하나투어,HANATOUR SERVICE INC.,039130,
80528,00360577,엑사이엔씨,"EXA E&C, Inc",054940,
80548,00129989,코스모신소재,"COSMO ADVANCED MATERIALS & TECHNOLOGY CO., LTD",005070,
80623,00204262,한글과컴퓨터,HANCOM INC.,030520,
80631,00357430,쎌바이오텍,"CELL BIOTECH CO ., LTD",049960,
80632,00139719,와이지-원,"YG-1 CO.,LTD",019210,
80633,00238153,파세코,PASECO CO.LTD,037070,
80666,00258421,기산텔레콤,"Kisan Telecom CO., Ltd.",035460,
80757,00356361,LG화학,LG CHEM LTD,051910,
80844,00410915,서울옥션,SeoulAuctionCo.Ltd..,063170,
80847,00641393,엔시트론,"N CITRON, INC.",101400,
80946,01576102,미래에셋글로벌리츠,"Mirae Asset Global REIT Co., Ltd.",396690,
80970,01062867,디알텍,DRTECH Corporation,214680,
80995,00806972,매직마이크로,"MAGICMICRO CO.,LTD",127160,
81025,00359623,우리산업홀딩스,"WOORY INDUSTRIAL HOLDINGS CO.,LTD.",072470,
81026,00614089,에이원알폼,"A ONE ALFORM CO., LTD.",234070,
81027,00242712,엘컴텍,"ELCOMTEC CO.,LTD",037950,
81028,00240857,바이오스마트,"BioSmart Co., Ltd.",038460,
81059,00306162,상상인,"Sangsangin Co., Ltd.",038540,
81096,00203209,에쎈테크,"ESSEN TECH CO.,LTD.",043340,
81144,00161462,에이티넘인베스트,"Atinum Investment Co., Ltd",021080,
81184,00106641,기아,KIA CORPORATION,000270,
81185,00152880,코오롱글로벌,"KolonGlobalCorporation CO.,LTD",003070,
81186,00138260,SIMPAC,SIMPACInc,009160,
81193,00485177,일진파워,"ILJIN POWER CO., LTD.",094820,
81217,00261355,레드캡투어,"RedcapTour Co., Ltd.",038390,
81354,00164724,현대엘리베이터,"HYUNDAI ELEVATOR CO.,LTD",017800,
81369,00423177,텔레칩스,TelechipsInc.,054450,
81409,01418260,폭스소프트,"foxSoft Co., Ltd.",354230,
81450,00231442,디지틀조선,DigitalChosun,033130,
81468,01013311,헥토이노베이션,"Hecto Innovation Co., Ltd.",214180,
81475,00249247,YG PLUS,"YG PLUS, INC.",037270,
81506,01035368,티에프이,"TFE Co., Ltd.",425420,
81522,00961570,신도기연,"Shindo Eng. Lab., Ltd.",290520,
81541,00148364,하림지주,"Harim Holdings Co., Ltd.",003380,
81590,00128315,삼지전자,"SAMJI ELECTRONICS CO., LTD.",037460,
81613,00379229,에스에이티,SystemandApplicationTechnologiesInc.,060540,
81621,01428249,케이프이에스제4호기업인수목적,CAPE-ES No.4 Special Purpose Acquisition Company,347140,
81622,00923899,참존글로벌,"Charmzone Global Co., Ltd.",158310,
81623,00159616,두산에너빌리티,"DOOSAN ENERBILITY CO., LTD.",034020,
81684,00997812,코미코,KoMiCo Ltd.,183300,
81723,00695969,동운아나텍,"DONGWOON ANATECH CO.,LTD.",094170,
81724,00139764,에넥스,"ENEX CO.,LTD",011090,
81725,00537832,푸른기술,PULOONTECHNOLOGYINC.,094940,
81726,00140955,한솔케미칼,"Hansol Chemical Co., Ltd",014680,
81744,00334624,팍스넷,"PAXNet, Inc.",038160,
81762,01051065,엔비티,NBT INC.,236810,
81783,00128926,삼현철강,"SAMHYUN STEEL Co., Ltd",017480,
81821,00612489,아이쓰리시스템,i3system Inc.,214430,
81886,00140052,에이스침대,AceBed,003800,
81902,00367455,현우산업,"HYUNWOOINDUSTRIALCO.,LTD",092300,
81920,00673301,전우정밀,"JEONWOO PRECISION Co.,Ltd.",120780,
